soc_id	var_id	code	title	category	pref_name_for_society	Lat	Long	region
SCCS121	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Chukchi	66.5	179.6	East Eurasia
SCCS121	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Chukchi	66.5	179.6	East Eurasia
SCCS121	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Chukchi	66.5	179.6	East Eurasia
SCCS121	SCCS69	3.0	Marital Residence	Settlement, Community	Chukchi	66.5	179.6	East Eurasia
SCCS121	SCCS826	23.0	Average Female Contribution to Subsistence	Gender, Data Quality	Chukchi	66.5	179.6	East Eurasia
SCCS122	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Deg Xit'an	62.5	-159.5	North America
SCCS122	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Deg Xit'an	62.5	-159.5	North America
SCCS122	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Deg Xit'an	62.5	-159.5	North America
SCCS122	SCCS69	1.0	Marital Residence	Settlement, Community	Deg Xit'an	62.5	-159.5	North America
SCCS122	SCCS826	26.0	Average Female Contribution to Subsistence	Gender, Data Quality	Deg Xit'an	62.5	-159.5	North America
SCCS123	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Aleut	55.0	-162.85	North America
SCCS123	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Aleut	55.0	-162.85	North America
SCCS123	SCCS64	4.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Aleut	55.0	-162.85	North America
SCCS123	SCCS69	3.0	Marital Residence	Settlement, Community	Aleut	55.0	-162.85	North America
SCCS123	SCCS826	35.0	Average Female Contribution to Subsistence	Gender, Data Quality	Aleut	55.0	-162.85	North America
SCCS124	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Copper Inuit	68.72	-112.53	North America
SCCS124	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Copper Inuit	68.72	-112.53	North America
SCCS124	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Copper Inuit	68.72	-112.53	North America
SCCS124	SCCS69	5.0	Marital Residence	Settlement, Community	Copper Inuit	68.72	-112.53	North America
SCCS124	SCCS826	16.0	Average Female Contribution to Subsistence	Gender, Data Quality	Copper Inuit	68.72	-112.53	North America
SCCS125	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Montagnais	50.0	-74.0	North America
SCCS125	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Montagnais	50.0	-74.0	North America
SCCS125	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Montagnais	50.0	-74.0	North America
SCCS125	SCCS69	3.0	Marital Residence	Settlement, Community	Montagnais	50.0	-74.0	North America
SCCS125	SCCS826	32.0	Average Female Contribution to Subsistence	Gender, Data Quality	Montagnais	50.0	-74.0	North America
SCCS126	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Mi'kmaq	46.99	-65.0	North America
SCCS126	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Mi'kmaq	46.99	-65.0	North America
SCCS126	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Mi'kmaq	46.99	-65.0	North America
SCCS126	SCCS69	5.0	Marital Residence	Settlement, Community	Mi'kmaq	46.99	-65.0	North America
SCCS126	SCCS826	8.0	Average Female Contribution to Subsistence	Gender, Data Quality	Mi'kmaq	46.99	-65.0	North America
SCCS127	SCCS3	3.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Northern Saulteaux	52.0	-95.5	North America
SCCS127	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Northern Saulteaux	52.0	-95.5	North America
SCCS127	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Northern Saulteaux	52.0	-95.5	North America
SCCS127	SCCS69	3.0	Marital Residence	Settlement, Community	Northern Saulteaux	52.0	-95.5	North America
SCCS127	SCCS826	10.0	Average Female Contribution to Subsistence	Gender, Data Quality	Northern Saulteaux	52.0	-95.5	North America
SCCS128	SCCS3	3.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	DeneTha	62.0	-122.0	North America
SCCS128	SCCS588		Community-wide Exclusively Female Work Groups	Gender	DeneTha	62.0	-122.0	North America
SCCS128	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	DeneTha	62.0	-122.0	North America
SCCS128	SCCS69	3.0	Marital Residence	Settlement, Community	DeneTha	62.0	-122.0	North America
SCCS128	SCCS826	10.0	Average Female Contribution to Subsistence	Gender, Data Quality	DeneTha	62.0	-122.0	North America
SCCS129	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Kaska	60.0	-131.0	North America
SCCS129	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Kaska	60.0	-131.0	North America
SCCS129	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Kaska	60.0	-131.0	North America
SCCS129	SCCS69	1.0	Marital Residence	Settlement, Community	Kaska	60.0	-131.0	North America
SCCS129	SCCS826	24.0	Average Female Contribution to Subsistence	Gender, Data Quality	Kaska	60.0	-131.0	North America
SCCS13	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Mbuti	1.5	28.33	Africa
SCCS13	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Mbuti	1.5	28.33	Africa
SCCS13	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Mbuti	1.5	28.33	Africa
SCCS13	SCCS69	3.0	Marital Residence	Settlement, Community	Mbuti	1.5	28.33	Africa
SCCS13	SCCS826	44.0	Average Female Contribution to Subsistence	Gender, Data Quality	Mbuti	1.5	28.33	Africa
SCCS130	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Eyak	60.5	-145.0	North America
SCCS130	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Eyak	60.5	-145.0	North America
SCCS130	SCCS64	1.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Eyak	60.5	-145.0	North America
SCCS130	SCCS69	2.0	Marital Residence	Settlement, Community	Eyak	60.5	-145.0	North America
SCCS130	SCCS826	8.0	Average Female Contribution to Subsistence	Gender, Data Quality	Eyak	60.5	-145.0	North America
SCCS131	SCCS3	2.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Haida	54.0	-132.5	North America
SCCS131	SCCS588	1.0	Community-wide Exclusively Female Work Groups	Gender	Haida	54.0	-132.5	North America
SCCS131	SCCS64	2.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Haida	54.0	-132.5	North America
SCCS131	SCCS69	2.0	Marital Residence	Settlement, Community	Haida	54.0	-132.5	North America
SCCS131	SCCS826	33.0	Average Female Contribution to Subsistence	Gender, Data Quality	Haida	54.0	-132.5	North America
SCCS132	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Nuxalk	52.33	-126.5	North America
SCCS132	SCCS588		Community-wide Exclusively Female Work Groups	Gender	Nuxalk	52.33	-126.5	North America
SCCS132	SCCS64	3.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Nuxalk	52.33	-126.5	North America
SCCS132	SCCS69	3.0	Marital Residence	Settlement, Community	Nuxalk	52.33	-126.5	North America
SCCS132	SCCS826	32.0	Average Female Contribution to Subsistence	Gender, Data Quality	Nuxalk	52.33	-126.5	North America
SCCS133	SCCS3	1.0	Agriculture - Contribution to Local Food Supply	Subsistence, Economy	Twana	47.43	-123.25	North America
SCCS133	SCCS588	2.0	Community-wide Exclusively Female Work Groups	Gender	Twana	47.43	-123.25	North America
SCCS133	SCCS64	5.0	Population Density (from Murdock and Wilson Data)	Settlement, Community	Twana	47.43	-123.25	North America
SCCS133	SCCS69	3.0	Marital Residence	Settlement, Community	Twana	47.43	-123.25	North America
SCCS133	SCCS826	32.0	Average Female Contribution to Subsistence	Gender, Data Quality	Twana	47.43	-123.25	North America
