soc_id	pref_name_for_society	Lat	Long	region	Agriculture - Contribution to Local Food Supply	Average Female Contribution to Subsistence	Community-wide Exclusively Female Work Groups	Marital Residence	Population Density (from Murdock and Wilson Data)
SCCS45	Babylonians	32.58	44.75	Circum-Mediterranean	6.0	0.0		3.0	7.0
SCCS46	Rwala	33.25	38.5	Circum-Mediterranean	1.0	13.0		3.0	2.0
SCCS47	Turks	39.33	34.25	Circum-Mediterranean	6.0	49.0	1.0	3.0	5.0
SCCS48	Gheg	42.0	20.17	Circum-Mediterranean	5.0	52.0		3.0	5.0
SCCS49	Ancient Romans	41.67	13.5	Circum-Mediterranean	4.0		1.0	3.0	7.0
SCCS5	Mbundu	-12.25	16.5	Africa	6.0	43.0	2.0	3.0	4.0
SCCS50	Spanish Basques	43.25	-1.67	Circum-Mediterranean	6.0	32.0		3.0	4.0
SCCS51	Irish	53.5	-10.0	Circum-Mediterranean	6.0	18.0	2.0	3.0	5.0
SCCS52	Sami	68.7	21.5	Circum-Mediterranean	3.0	49.0		3.0	3.0
SCCS53	Yurak-Samoyeds	68.0	51.5	East Eurasia	3.0	11.0	1.0	3.0	1.0
SCCS54	Russians	52.67	41.33	Circum-Mediterranean	6.0	58.0		5.0	4.0
SCCS55	Abkhaz	43.13	40.77	Circum-Mediterranean	4.0	8.0	1.0	3.0	5.0
SCCS56	Armenians	40.0	44.5	Circum-Mediterranean	6.0	37.0		3.0	5.0
SCCS57	Kurd	36.5	44.5	Circum-Mediterranean	5.0	25.0	1.0	3.0	6.0
SCCS58	Basseri	29.0	53.0	East Eurasia	4.0	32.0		3.0	3.0
SCCS59	Punjabi	32.5	74.0	East Eurasia	6.0	10.0		3.0	6.0
SCCS6	Suku	-6.0	18.0	Africa	6.0	70.0		3.0	4.0
SCCS60	Madia	19.63	80.92	East Eurasia	5.0	18.0		3.0	4.0
SCCS61	Toda	11.5	76.5	East Eurasia	1.0	13.0	1.0	3.0	5.0
SCCS62	Santal	23.5	87.17	East Eurasia	6.0	22.0		3.0	6.0
SCCS63	Uttar Pradesh	25.92	83.0	East Eurasia	6.0	25.0	1.0	3.0	7.0
SCCS64	Burusho	36.43	74.58	East Eurasia	6.0	18.0		3.0	3.0
SCCS65	Kazakh	42.5	75.5	East Eurasia	2.0	21.0		3.0	3.0
SCCS66	Khalka	47.17	96.08	East Eurasia	3.0	53.0		3.0	3.0
SCCS67	Lolo	27.5	103.5	East Eurasia	6.0	41.0	1.0	3.0	3.0
SCCS68	Lepcha	27.5	89.0	East Eurasia	5.0	53.0		3.0	5.0
SCCS69	Garo	26.0	91.0	East Eurasia	5.0	35.0		1.0	5.0
SCCS7	Bemba	-10.5	30.5	Africa	5.0	41.0	2.0	1.0	3.0
SCCS70	Maras	22.33	93.0	East Eurasia	6.0	49.0		3.0	4.0
SCCS71	Burmese	22.0	95.67	East Eurasia	5.0	18.0	2.0	1.0	6.0
SCCS72	Lamet	20.0	100.67	East Eurasia	5.0	28.0		3.0	1.0
SCCS73	Annamese	20.5	106.25	East Eurasia	6.0	16.0		3.0	7.0
SCCS74	Rade	13.0	108.0	East Eurasia	6.0	37.0		1.0	7.0
SCCS75	Ancient Khmer	13.0	103.83	East Eurasia	6.0	29.0		5.0	5.0
SCCS76	Thai	14.0	100.85	East Eurasia	6.0	34.0		1.0	6.0
SCCS77	Semang	5.0	101.25	East Eurasia	3.0	29.0	2.0	3.0	1.0
SCCS78	Nicobarese	7.0	93.75	East Eurasia	6.0	38.0		1.0	5.0
SCCS79	Andamanese	12.0	93.0	East Eurasia	1.0	32.0		4.0	3.0
SCCS8	Nyakyusa	-9.5	34.0	Africa	6.0	41.0		5.0	5.0
